year,month,term,avg_sentiment
2022,2,producst,0.03556828200817108
2022,9,unhooked,0.10742557801616688
2021,11,dermatitisallergy,0.17622549552470446
2022,5,settingspray,0.21794552728533745
2022,6,cosplayor,0.2240000069141388
2023,3,shrinkflation,0.12124196072626445
2022,3,macdonald,0.11417496168393303
2021,4,heather,0.09488726655642192
2022,8,chart,0.20403814230424663
2021,1,cosplayor,0.0984893562272191
2022,2,shrinkflation,-0.09766060411930085
2021,1,macdonald,0.1455739918164909
2022,5,seam,0.13762920880690216
2023,3,settingspray,0.1305697421129379
2022,8,dermatitisallergy,0.18383968621492386
2021,6,macdonald,0.10781866205590111
2022,4,frequency,0.19023671509841314
2022,3,shrinkflation,0.16277777900298437
2021,2,dyer,0.34291116644938785
2023,1,heather,0.18480828607624228
2022,4,chart,0.1462143775075674
2021,1,settingspray,0.04793478175997734
2021,6,dermatitisallergy,0.04387024169166883
2021,12,macdonald,0.1808189381327894
2021,11,chart,0.11900913901627064
2022,4,producst,0.02087121084332466
2022,9,macdonald,0.1277223002165556
2022,8,unhooked,0.0964158408343792
2021,6,oneunusedis,0.12821370066905563
2022,6,experts,0.02644531149417162
2022,10,chart,0.17731481666366258
2022,9,producst,0.14317460209131241
2022,4,macdonald,0.19566157956918082
2021,4,angry,0.03948130435310304
2022,7,frequency,0.02049751691520214
2022,8,frequency,0.08748838507259886
2022,4,dermatitisallergy,0.2076137602329254
2022,8,wrinklescrepy,0.22009259462356567
2022,11,macdonald,0.07877000346779824
2022,3,cicaplast,0.0889036358334124
2022,6,settingspray,0.11818783171474934
2021,3,frequency,0.07895849570631981
2022,12,wrinklescrepy,0.047916670329868793
2021,12,dermatitisallergy,0.07044762158766389
2021,1,oneunusedis,0.166618144682919
2023,3,experts,0.03754571576913198
2021,1,chart,0.28333333134651184
2022,8,cicaplast,0.2948979642242193
2022,1,cosplayor,0.21149386763572692
2022,5,wrinklescrepy,0.06384615181013942
2022,8,producst,0.02500000037252903
2021,7,shrinkflation,-0.05166666582226753
2021,9,macdonald,0.08743047947064042
2021,4,macdonald,0.1969501618295908
2021,3,dyer,0.1985070951282978
2021,10,wrinklescrepy,0.1250000037252903
2022,7,heather,0.14808201293150583
2021,12,seam,0.1002948112371895
2021,7,seam,0.18345550696055093
2021,5,seam,0.1332489913329482
2021,8,oneunusedis,0.20979877162192548
2023,2,chart,0.24753010672117984
2023,1,cosplayor,0.10211791274403888
2021,11,frequency,0.02800512535031885
2022,1,dyer,0.12783685140311718
2022,12,dermatitisallergy,0.06566267169546336
2022,1,oneunusedis,0.11822800664231181
2021,8,wrinklescrepy,0.19633333384990692
2021,8,angry,0.15576923079788685
2021,2,frequency,0.08975438230360548
2021,1,heather,0.2347842250019312
2021,10,frequency,0.124173554033041
2021,1,cheeklip,0.2106660194694996
2021,5,chart,0.04713541641831398
2021,5,dermatitisallergy,0.15401515240470567
2021,4,unhooked,0.17261878365172525
2022,3,chart,0.04961053431034088
2022,10,webcams,0.22439683377742767
2022,12,chart,0.24251984059810638
2021,9,angry,-0.0075501613318920135
2022,9,settingspray,0.052039564587175846
2022,6,cheeklip,0.14946731583525738
2022,7,cicaplast,0.17006914392113687
2022,12,cicaplast,0.12675685063004494
2021,7,producst,0.17064730823040009
